Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
123482,1,148,HUECHURABA,348035.295861,6306225.73376,2013-09-28 00:00:00.000000,sábado,2,1,2,0,0,0,1,NA,0,100000,0,168232,86.2533721923828
123490,1,149,HUECHURABA,348572.712134,6307108.86909,2012-09-29 00:00:00.000000,sábado,2,1,4,0,0,0,1,NA,0,100000,0,249269,73.0042419433594
123501,1,154,HUECHURABA,342972.422341,6307541.35804,2013-10-10 00:00:00.000000,jueves,1,1,3,0,1,0,1,NA,0,120000,0,280719,120.142189025879
123511,1,150,HUECHURABA,344500.990935682,6309079.54617444,2013-03-13 00:00:00.000000,miércoles,1,1,5,1,2,0,3,NA,0,650000,0,675000,175.514556884766
123522,1,155,HUECHURABA,347467.408377,6306465.76366,2012-09-26 00:00:00.000000,miércoles,1,1,2,0,1,0,1,NA,0,100000,0,490000,98.8082580566406
123531,1,154,HUECHURABA,342887.214999483,6307963.79550025,2012-10-27 00:00:00.000000,sábado,2,1,4,0,0,0,1,NA,0,100000,0,335000,96.6550827026367
123541,1,154,HUECHURABA,342863.020726469,6307963.40329897,2012-10-25 00:00:00.000000,jueves,1,1,4,2,0,0,1,NA,0,115000,0,691775,64.9162979125977
123551,1,143,HUECHURABA,344983.638351,6306789.6737400005,2013-10-11 00:00:00.000000,viernes,1,1,5,1,2,0,1,NA,0,300000,0,427972,340.298736572266
123563,1,156,HUECHURABA,347717.312353,6307211.5,2013-06-05 00:00:00.000000,miércoles,1,1,5,0,2,0,1,NA,0,170000,0,617557,217.029098510742
123571,1,150,HUECHURABA,344541.105377653,6307536.04884152,2013-10-11 00:00:00.000000,viernes,1,1,6,1,2,0,1,NA,0,190000,0,1820302,220.294036865234
123582,1,143,HUECHURABA,345001.270771928,6307681.06314751,2013-03-22 00:00:00.000000,viernes,1,1,4,1,1,1,1,NA,0,191056,1,500000,182.982635498047
123591,1,143,HUECHURABA,344923.615017799,6307595.74840773,2013-03-22 00:00:00.000000,viernes,1,1,4,2,0,1,1,NA,0,400000,0,1117193,141.980560302734
123601,1,144,HUECHURABA,347571.321725519,6305853.9531017,2013-03-11 00:00:00.000000,lunes,1,1,3,0,0,0,3,NA,0,120000,0,850000,99.8677520751953
123610,1,145,HUECHURABA,348322.868191,6305705.08075,2013-06-08 00:00:00.000000,sábado,2,1,5,0,2,0,1,NA,0,140000,0,1100000,67.6644668579102
123621,1,154,HUECHURABA,342961.103008,6307494.6021,2013-10-12 00:00:00.000000,sábado,2,1,4,0,2,0,1,NA,0,300000,0,761647,96.6550827026367
